"","PRIM_STATE","AREA_TYPE","NAICS","NAICS_TITLE","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","EMP_PRSE","H_MEAN","A_MEAN","MEAN_PRSE"
"53","AK","2","000000","Cross-industry","11-0000","Management","major",21590,2.2,51.87,107880,0.9
"54","AZ","2","000000","Cross-industry","11-0000","Management","major",162490,1.3,54.81,114000,0.7
"55","AR","2","000000","Cross-industry","11-0000","Management","major",63910,1.3,45.25,94120,2.3
"56","CA","2","000000","Cross-industry","11-0000","Management","major",1061750,0.8,69.78,145140,0.5
"57","CO","2","000000","Cross-industry","11-0000","Management","major",115380,1.3,67.65,140720,0.7
"58","CT","2","000000","Cross-industry","11-0000","Management","major",118960,1.9,70.6,146850,0.9
"59","DE","2","000000","Cross-industry","11-0000","Management","major",19260,2.7,71.01,147700,1.4
"60","DC","2","000000","Cross-industry","11-0000","Management","major",90520,1.2,75.8,157660,2
"61","FL","2","000000","Cross-industry","11-0000","Management","major",457220,0.9,53.46,111190,0.5
"62","GA","2","000000","Cross-industry","11-0000","Management","major",284880,1.1,55.65,115750,0.7
"63","HI","2","000000","Cross-industry","11-0000","Management","major",33370,2.1,53.89,112100,1
"64","ID","2","000000","Cross-industry","11-0000","Management","major",41670,1.6,42.33,88050,1.5
"65","IL","2","000000","Cross-industry","11-0000","Management","major",421190,1,60.26,125330,0.6
"66","IN","2","000000","Cross-industry","11-0000","Management","major",138810,2.2,50.03,104060,1.2
"67","IA","2","000000","Cross-industry","11-0000","Management","major",83940,1.2,49.09,102110,1
"68","KS","2","000000","Cross-industry","11-0000","Management","major",63970,1.6,52.04,108250,0.9
"69","KY","2","000000","Cross-industry","11-0000","Management","major",85990,1.4,46.36,96420,0.7
"70","LA","2","000000","Cross-industry","11-0000","Management","major",92280,1.2,49.91,103820,0.7
"71","ME","2","000000","Cross-industry","11-0000","Management","major",33860,1.5,49.47,102900,1.1
"72","MD","2","000000","Cross-industry","11-0000","Management","major",162750,1.2,63.54,132160,0.8
"73","MA","2","000000","Cross-industry","11-0000","Management","major",303950,1,67.97,141370,0.8
"74","MI","2","000000","Cross-industry","11-0000","Management","major",205570,1.5,56.72,117970,0.6
"75","MN","2","000000","Cross-industry","11-0000","Management","major",164530,1.3,59.62,124020,1.1
"76","MS","2","000000","Cross-industry","11-0000","Management","major",48550,2.3,42.03,87420,1.3
"77","MO","2","000000","Cross-industry","11-0000","Management","major",134620,1.4,52.84,109910,0.9
"78","MT","2","000000","Cross-industry","11-0000","Management","major",18690,1.9,45.96,95590,0.9
"79","NE","2","000000","Cross-industry","11-0000","Management","major",51310,1.6,50.11,104230,0.9
"80","NV","2","000000","Cross-industry","11-0000","Management","major",68110,1.8,53.45,111170,1.1
"81","NH","2","000000","Cross-industry","11-0000","Management","major",40050,1.7,60.79,126430,0.9
"82","NJ","2","000000","Cross-industry","11-0000","Management","major",219100,1.6,77.44,161080,0.8
"83","NM","2","000000","Cross-industry","11-0000","Management","major",35950,1.5,49.99,103970,1.8
"84","NY","2","000000","Cross-industry","11-0000","Management","major",473070,0.8,78.43,163120,0.6
"85","NC","2","000000","Cross-industry","11-0000","Management","major",206950,0.8,59.91,124620,0.5
"86","ND","2","000000","Cross-industry","11-0000","Management","major",19520,2.2,49.93,103850,1.2
"87","OH","2","000000","Cross-industry","11-0000","Management","major",237430,0.9,55.21,114830,0.5
"88","OK","2","000000","Cross-industry","11-0000","Management","major",80140,1.4,49.73,103450,0.9
"89","OR","2","000000","Cross-industry","11-0000","Management","major",114530,1.2,53.74,111780,1.3
"90","PA","2","000000","Cross-industry","11-0000","Management","major",267230,1.3,61.38,127660,0.6
"91","RI","2","000000","Cross-industry","11-0000","Management","major",19660,2.3,68.52,142520,1.1
"92","SC","2","000000","Cross-industry","11-0000","Management","major",89990,1,52.64,109500,0.7
"93","SD","2","000000","Cross-industry","11-0000","Management","major",12410,1.7,52.83,109890,1.2
"94","TN","2","000000","Cross-industry","11-0000","Management","major",183680,1.2,50.28,104590,0.7
"95","TX","2","000000","Cross-industry","11-0000","Management","major",668900,0.7,57.76,120150,0.4
"96","UT","2","000000","Cross-industry","11-0000","Management","major",109050,1.4,47.33,98450,0.8
"97","VT","2","000000","Cross-industry","11-0000","Management","major",18970,2.2,46.37,96460,1.1
"98","VA","2","000000","Cross-industry","11-0000","Management","major",187740,1,68.35,142170,0.6
"99","WA","2","000000","Cross-industry","11-0000","Management","major",171950,4.2,66.66,138660,1.3
"100","WV","2","000000","Cross-industry","11-0000","Management","major",31530,1.8,44.36,92270,1
"101","WI","2","000000","Cross-industry","11-0000","Management","major",111320,1.1,57.54,119690,0.6
"102","WY","2","000000","Cross-industry","11-0000","Management","major",11880,1.8,47.38,98550,1
"103","AL","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1160,8.9,84.09,174910,3.8
"104","AK","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1080,7.6,79.98,166360,3.7
"105","AZ","2","000000","Cross-industry","11-1011","Chief Executives","detailed",3290,5.2,86.01,178890,2.8
"106","AR","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1950,3.9,65.58,136410,4.2
"107","CA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",30150,3,105.15,218700,1.5
"108","CO","2","000000","Cross-industry","11-1011","Chief Executives","detailed",660,6.3,96.9,201540,4.4
"109","CT","2","000000","Cross-industry","11-1011","Chief Executives","detailed",570,7.8,118.9,247310,3.3
"110","DC","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1570,7.7,122.03,253820,3.6
"111","FL","2","000000","Cross-industry","11-1011","Chief Executives","detailed",22030,3.9,93.09,193640,1.8
"112","HI","2","000000","Cross-industry","11-1011","Chief Executives","detailed",560,10.1,103.8,215910,4.2
"113","IL","2","000000","Cross-industry","11-1011","Chief Executives","detailed",9430,4.2,108.52,225710,1.8
"114","IN","2","000000","Cross-industry","11-1011","Chief Executives","detailed",2270,3.8,80,166390,2.2
"115","KS","2","000000","Cross-industry","11-1011","Chief Executives","detailed",3160,3.6,78.13,162510,2.1
"116","KY","2","000000","Cross-industry","11-1011","Chief Executives","detailed",2710,4.5,78.21,162670,2.1
"117","LA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",710,4.5,99.08,206080,3.6
"118","ME","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1130,6.1,73.38,152620,3.1
"119","MA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",7190,3.2,111.18,231260,1.4
"120","MI","2","000000","Cross-industry","11-1011","Chief Executives","detailed",2710,6.8,112.58,234160,2.9
"121","MN","2","000000","Cross-industry","11-1011","Chief Executives","detailed",5420,3.3,95.25,198110,1.6
"122","MS","2","000000","Cross-industry","11-1011","Chief Executives","detailed",740,10.6,63.54,132160,4.2
"123","MO","2","000000","Cross-industry","11-1011","Chief Executives","detailed",4540,8.2,84.82,176430,3
"124","MT","2","000000","Cross-industry","11-1011","Chief Executives","detailed",360,6.3,69.45,144470,4.2
"125","NE","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1580,5.8,95.12,197850,3.6
"126","NV","2","000000","Cross-industry","11-1011","Chief Executives","detailed",1370,19.4,97.6,203010,7.3
"127","NH","2","000000","Cross-industry","11-1011","Chief Executives","detailed",630,8.9,85.97,178810,3.6
"128","NJ","2","000000","Cross-industry","11-1011","Chief Executives","detailed",980,7.1,124.25,258450,3
"129","NY","2","000000","Cross-industry","11-1011","Chief Executives","detailed",7280,4.8,105.15,218720,3.4
"130","NC","2","000000","Cross-industry","11-1011","Chief Executives","detailed",3070,6.7,106.22,220940,4.4
"131","ND","2","000000","Cross-industry","11-1011","Chief Executives","detailed",220,14.9,78.02,162280,5
"132","OH","2","000000","Cross-industry","11-1011","Chief Executives","detailed",4940,3.3,93.85,195200,3.3
"133","OK","2","000000","Cross-industry","11-1011","Chief Executives","detailed",2870,7.2,72.63,151080,3.6
"134","OR","2","000000","Cross-industry","11-1011","Chief Executives","detailed",970,8.8,109.71,228190,3.8
"135","PA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",7010,4.3,109.26,227250,2.1
"136","RI","2","000000","Cross-industry","11-1011","Chief Executives","detailed",330,7,116,241280,4.6
"137","SC","2","000000","Cross-industry","11-1011","Chief Executives","detailed",3460,2.8,87.45,181900,1.9
"138","SD","2","000000","Cross-industry","11-1011","Chief Executives","detailed",470,5.1,124.72,259430,3
"139","TN","2","000000","Cross-industry","11-1011","Chief Executives","detailed",9450,4.6,80.3,167020,2.5
"140","TX","2","000000","Cross-industry","11-1011","Chief Executives","detailed",6730,3.8,114.93,239060,1.5
"141","UT","2","000000","Cross-industry","11-1011","Chief Executives","detailed",5470,5.8,76.31,158730,3.4
"142","VT","2","000000","Cross-industry","11-1011","Chief Executives","detailed",630,6.8,76.09,158270,3.5
"143","VA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",6480,4.1,113.86,236820,1.8
"144","WA","2","000000","Cross-industry","11-1011","Chief Executives","detailed",2660,7,116.9,243150,2.4
"145","WV","2","000000","Cross-industry","11-1011","Chief Executives","detailed",990,5,78.16,162580,2.5
"146","WI","2","000000","Cross-industry","11-1011","Chief Executives","detailed",3230,6.1,89.16,185450,3
"147","WY","2","000000","Cross-industry","11-1011","Chief Executives","detailed",110,6,59.63,124030,5
"148","AL","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",31170,2,58.56,121800,1
"149","AK","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",6380,4.1,52.97,110170,2.3
"150","AZ","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",50520,2.6,54.62,113620,1.2
"151","AR","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",20400,2.1,44.01,91530,2.1
"152","CA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",254020,1.2,68.14,141730,0.8
"153","CO","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",35550,2.1,69.42,144390,1
"154","CT","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",29450,2.6,77.63,161460,1.1
"155","DE","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",3940,3.9,74.93,155860,1.9
"156","DC","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",26550,2.4,76.44,159000,2.1
"157","FL","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",140050,1.5,51.84,107820,0.7
"158","GA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",76650,1.7,54.66,113690,1.2
"159","HI","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",9010,2.9,55.52,115480,1.5
"160","ID","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",15290,2.2,40.76,84780,1.5
"161","IL","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",121630,1.7,61.62,128160,1
"162","IN","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",44470,1.6,54.92,114220,0.8
"163","IA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",24470,1.9,47.13,98030,1.1
"164","KS","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",18330,2.4,48.73,101360,1.4
"165","KY","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",32010,2.2,44.54,92650,1.1
"166","LA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",29150,2,57.42,119430,1.1
"167","ME","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",11010,2.8,50.67,105390,2.5
"168","MD","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",44800,2.1,64.03,133170,1.1
"169","MA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",84170,1.6,69.23,144000,1.1
"170","MI","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",63340,2.1,57.78,120190,0.9
"171","MN","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",40490,2.2,57.78,120190,1.2
"172","MS","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",17300,3.2,42.96,89350,2.1
"173","MO","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",55340,1.9,48.85,101610,1.2
"174","MT","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",6580,3.5,48.82,101550,1.4
"175","NE","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",13220,2.8,49.14,102220,1.2
"176","NV","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",20280,3.8,60.98,126830,2.1
"177","NH","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",12790,1.9,63.81,132720,1.6
"178","NJ","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",44500,3.5,83.07,172790,1.8
"179","NM","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",13770,3,52.39,108970,1.7
"180","NY","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",158110,1.6,76.46,159050,0.9
"181","NC","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",57860,1.5,62.21,129400,0.8
"182","ND","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",8210,3.2,49.45,102850,2.1
"183","OH","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",65130,1.4,57.23,119040,0.8
"184","OK","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",23690,2.5,49.95,103890,1.3
"185","OR","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",33460,2.2,54.63,113620,1.9
"186","PA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",85870,2.1,63.01,131060,1.2
"187","RI","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",5380,5,74.66,155290,2
"188","SC","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",29270,1.8,51.88,107920,1.1
"189","SD","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",3550,2.6,63.41,131890,1.4
"190","TN","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",48360,2,54.45,113250,1.1
"191","TX","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",229380,1.3,57.16,118890,0.8
"192","UT","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",48030,2.1,40.84,84950,1.2
"193","VT","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",5090,4.1,43.75,90990,2.1
"194","VA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",57600,1.4,66.39,138090,0.9
"195","WA","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",49990,10.4,66.59,138510,2.5
"196","WV","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",10830,2.3,41.33,85960,1.8
"197","WI","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",26350,1.7,66.61,138540,0.8
"198","WY","2","000000","Cross-industry","11-1021","General and Operations Managers","detailed",4660,3.1,48.58,101060,1.5
"199","AL","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",70,38.2,54.81,114000,13.3
"200","AK","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",40,11.5,37.76,78550,4.9
"201","AR","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",70,12,55.81,116080,7
"202","CA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",2270,6.6,76.36,158820,2.5
"203","CO","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",410,28.4,78.39,163040,6.2
"204","CT","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",210,18.4,65.16,135540,5.3
"205","DC","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",110,17.4,63.01,131050,5.2
"206","FL","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",1070,16.1,53.21,110670,5.7
"207","GA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",730,12.8,64.08,133290,3.9
"208","HI","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",120,22.5,51.63,107390,3.3
"209","ID","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",100,14.1,35.6,74050,3
"210","IL","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",970,25.1,63.51,132090,6.4
"211","IN","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",120,12.9,47.48,98760,5
"212","IA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",170,17,50.52,105070,6.3
"213","KS","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",80,25.4,56.55,117630,12
"214","KY","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",110,19.5,49.71,103400,11.4
"215","LA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",120,18.2,40.9,85080,7.5
"216","ME","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",90,18.9,43.41,90290,6
"217","MD","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",560,13.2,61.35,127620,4.1
"218","MA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",970,10.1,61.34,127580,3
"219","MI","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",460,8.3,66.54,138410,6.6
"220","MN","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",350,10.7,59.02,122770,3.2
"221","MS","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",50,19.2,45.83,95330,8.4
"222","MO","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",270,18.3,55.01,114420,5.1
"223","NE","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",130,12.8,61.47,127860,8.7
"224","NV","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",160,24.8,60.17,125150,6.3
"225","NH","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",60,19,47.97,99790,2.9
"226","NJ","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",400,13.2,84.16,175060,3.3
"227","NM","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",40,22.7,63.12,131300,8.7
"228","NY","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",7660,6.7,88.29,183640,2.3
"229","NC","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",150,18,58.98,122670,7
"230","OH","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",270,12.6,70,145610,8.4
"231","OK","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",150,17.8,47.23,98240,5.5
"232","OR","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",280,10.3,49.26,102450,3.3
"233","SC","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",100,17.3,55.97,116420,6.5
"234","TN","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",440,15.7,48.56,101000,5.8
"235","TX","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",1270,7.7,58.86,122420,2.9
"236","UT","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",100,14.5,43.39,90240,7.5
"237","VT","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",40,33.3,55.7,115850,4.8
"238","VA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",180,22.8,64.97,135140,9.4
"239","WA","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",310,12.6,65.58,136410,3.8
"240","WI","2","000000","Cross-industry","11-2011","Advertising and Promotions Managers","detailed",70,15.2,61.98,128920,5.1
"241","AL","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1170,4.7,59.42,123590,2.3
"242","AK","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",290,7.5,48.89,101700,3.2
"243","AZ","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",4500,4.7,63.09,131230,2.8
"244","AR","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",890,5.1,67.65,140710,7.4
"245","CA","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",42140,2.7,85.07,176940,0.9
"246","CO","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",4050,9.7,82.76,172140,2.3
"247","CT","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",5770,5.7,75.22,156470,2.4
"248","DE","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1050,7.2,79.3,164940,2.7
"249","DC","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",2570,6.8,81.4,169320,2.9
"250","FL","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",12040,3.7,64.04,133200,1.9
"251","GA","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",9290,4.6,68.63,142760,3.6
"252","HI","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",650,10.5,51.59,107310,3.8
"253","ID","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1050,10.7,57.6,119800,5.4
"254","IL","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",21930,3.3,67.44,140270,1
"255","IN","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",3120,7.5,59.36,123460,1.7
"256","IA","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",2270,4.2,58.52,121730,2.1
"257","KS","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1560,7.5,67.05,139470,2.2
"258","KY","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1740,8.2,57.9,120430,3.3
"259","LA","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1110,6.9,48.41,100690,2
"260","ME","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1270,8.1,51.31,106720,3.7
"261","MD","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",4430,5.9,72.11,149990,1.8
"262","MA","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",17310,2.9,73.62,153130,1.1
"263","MI","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",4880,6.1,65.25,135710,1.4
"264","MN","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",8000,4.2,72.51,150820,2.2
"265","MS","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",620,16.5,43.78,91060,2.9
"266","MO","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",2430,5.6,66.47,138250,1.9
"267","MT","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",170,16.3,58.87,122450,3.3
"268","NE","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1390,7.8,50.86,105790,1.8
"269","NV","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1500,8.4,62.88,130790,9.3
"270","NH","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",1220,6.8,67.24,139860,2.1
"271","NJ","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",11120,5,86.66,180250,1.6
"272","NM","2","000000","Cross-industry","11-2021","Marketing Managers","detailed",340,8.7,47.11,97990,3.5
